,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.movie,Input.home_url,Input.movie_url,Answer.imdb,Answer.title,Approve,Reject
0,302U8RURJZFKQBB3ARBN2NSD5G1NVZ,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:46 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:46 PST 2019,,,33F859I567RGTLPGSEUCKBXVKLFBHA,A1E7AQE8GKVRC,Submitted,Sat Nov 30 16:24:35 PST 2019,Sat Nov 30 16:26:08 PST 2019,Tue Dec 03 16:26:08 PST 2019,,,,93,0% (0/0),0% (0/0),0% (0/0),1558,scream_2,http://www.imsdb.com/Movie%20Scripts/Scream%202%20Script.html,http://www.imsdb.com/scripts/Scream-2.html,https://www.imdb.com/title/tt0120082/?ref_=nv_sr_srsg_0,Scream 2,x,
1,302U8RURJZFKQBB3ARBN2NSD5G1NVZ,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:46 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:46 PST 2019,,,3TPWUS5F8AFH0GCB1DC7WYD0HURWC1,AEKJO42PHS7RI,Submitted,Sat Nov 30 16:21:49 PST 2019,Sat Nov 30 16:22:18 PST 2019,Tue Dec 03 16:22:18 PST 2019,,,,29,100% (12/12),100% (12/12),100% (12/12),1558,scream_2,http://www.imsdb.com/Movie%20Scripts/Scream%202%20Script.html,http://www.imsdb.com/scripts/Scream-2.html,https://www.imdb.com/title/tt0120082/?ref_=nv_sr_srsg_0,Scream 2,x,
2,302U8RURJZFKQBB3ARBN2NSD5G1VN7,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:43 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:43 PST 2019,,,3C5W7UE9CG49Y2TSO7271DWJKA1XMD,AAMCI0680Q5SX,Submitted,Sat Nov 30 16:18:09 PST 2019,Sat Nov 30 16:19:10 PST 2019,Tue Dec 03 16:19:10 PST 2019,,,,61,0% (0/0),0% (0/0),0% (0/0),1005,jeux_interdits,http://www.imsdb.com/Movie%20Scripts/Jeux%20Interdits%20Script.html,http://www.imsdb.com/scripts/Jeux-Interdits.html,https://www.imsdb.com/scripts/Jeux-Interdits.html,Jeux Interdits Script,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to an IMDb page.
3,302U8RURJZFKQBB3ARBN2NSD5G1VN7,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:43 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:43 PST 2019,,,3D4CH1LGEB7J5WF8AOYY85Q4HL09G0,A1TWKQGO3U96VY,Submitted,Sat Nov 30 16:40:51 PST 2019,Sat Nov 30 16:45:34 PST 2019,Tue Dec 03 16:45:34 PST 2019,,,,283,0% (0/0),0% (0/0),0% (0/0),1005,jeux_interdits,http://www.imsdb.com/Movie%20Scripts/Jeux%20Interdits%20Script.html,http://www.imsdb.com/scripts/Jeux-Interdits.html,https://www.imdb.com/title/tt0043686/?ref_=fn_al_tt_1,Jeux Interdits,x,
4,304QEQWKZPYMFVAZ89NBWJ2S1UTO0N,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:47 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:47 PST 2019,,,3IFS6Q0HJJXF62H29IYSAC8AOMIISD,A385BM7R0Z59IN,Submitted,Sat Nov 30 16:51:52 PST 2019,Sat Nov 30 16:53:22 PST 2019,Tue Dec 03 16:53:22 PST 2019,,,,90,100% (35/35),0% (0/0),0% (0/0),1586,shame,http://www.imsdb.com/Movie%20Scripts/Shame%20Script.html,http://www.imsdb.com/scripts/Shame.html,https://imdb.com/title/tt1723811/,Shame,x,
5,304QEQWKZPYMFVAZ89NBWJ2S1UTO0N,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:47 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:47 PST 2019,,,3WLEIWSYHPVM58PK9L11JIURQF4H2G,A30N5H4N4C22N8,Submitted,Sat Nov 30 16:47:01 PST 2019,Sat Nov 30 16:47:30 PST 2019,Tue Dec 03 16:47:30 PST 2019,,,,29,100% (1/1),0% (0/0),0% (0/0),1586,shame,http://www.imsdb.com/Movie%20Scripts/Shame%20Script.html,http://www.imsdb.com/scripts/Shame.html,https://www.imdb.com/title/tt1723811/?ref_=nv_sr_srsg_0,Shame,x,
6,304QEQWKZPYMFVAZ89NBWJ2S1UU0O0,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:55 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:55 PST 2019,,,3907X2AHF1JEIPN8SY96SRWIC6B2P3,A1XZZSGX0LY3IH,Submitted,Sat Nov 30 16:03:28 PST 2019,Sat Nov 30 16:03:50 PST 2019,Tue Dec 03 16:03:50 PST 2019,,,,22,0% (0/0),0% (0/0),0% (0/0),1712,strange_days,http://www.imsdb.com/Movie%20Scripts/Strange%20Days%20Script.html,http://www.imsdb.com/scripts/Strange-Days.html,https://www.imdb.com/title/tt0114558/,Strange Days,x,
7,304QEQWKZPYMFVAZ89NBWJ2S1UU0O0,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:55 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:55 PST 2019,,,3U84XHCDIDRIZ741JLQWC4VU6JEZ4H,A1VDTBKV00F67C,Submitted,Sat Nov 30 16:24:56 PST 2019,Sat Nov 30 16:25:48 PST 2019,Tue Dec 03 16:25:48 PST 2019,,,,52,0% (0/0),0% (0/0),0% (0/0),1712,strange_days,http://www.imsdb.com/Movie%20Scripts/Strange%20Days%20Script.html,http://www.imsdb.com/scripts/Strange-Days.html,https://www.imdb.com/title/tt0114558/?ref_=nv_sr_srsg_0,Strange Days,x,
8,306996CF6WY23Q680NMP44L3ZNGB19,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:29 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:29 PST 2019,,,3S96KQ6I9NIZDREV6427TKOJY0NDTU,AYFD78FXIRIZS,Submitted,Sat Nov 30 16:38:39 PST 2019,Sat Nov 30 16:39:28 PST 2019,Tue Dec 03 16:39:28 PST 2019,,,,49,0% (0/0),0% (0/0),0% (0/0),2130,zootopia,http://www.imsdb.com/Movie%20Scripts/Zootopia%20Script.html,http://www.imsdb.com/scripts/Zootopia.html,https://www.imdb.com/title/tt2948356/?ref_=fn_al_tt_1,Zootopia,x,
9,306996CF6WY23Q680NMP44L3ZNGB19,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:29 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:29 PST 2019,,,3V5Q80FXIY57B0ILU0CZFOTH7AJ32S,AE03LUY7RH400,Submitted,Sat Nov 30 16:05:25 PST 2019,Sat Nov 30 16:05:56 PST 2019,Tue Dec 03 16:05:56 PST 2019,,,,31,0% (0/0),0% (0/0),0% (0/0),2130,zootopia,http://www.imsdb.com/Movie%20Scripts/Zootopia%20Script.html,http://www.imsdb.com/scripts/Zootopia.html,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_srsg_0,Zootopia,x,
