,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
                                CESAR,,,,,,,,
                         (grumbling),,,,,,,,
"                  Dog, you invadin' my privacy.",,,,,,,,
                  Bitch.,,,,,,,,
,,,,,,,,
                                 TREVOR,,,,,,,,
                          (remaining calm),,,,,,,,
"                  Cesar, would you come up here",,,,,,,,
                  please?,,,,,,,,
,,,,,,,,
"     Leveling a hard look, Cesar swaggers up to the island",,,,,,,,
     counter.,,,,,,,,
,,,,,,,,
"     Rita watches, a bated gaze, from her seat.",,,,,,,,
,,,,,,,,
     Trevor motions for him to come around behind the counter.,,,,,,,,
,,,,,,,,
                                                        (CONTINUED),,,,,,,,
,,,,,,,,
     1   8   7 - Rev. 7/10/96                                  64.,,,,,,,,
,,,,,,,,
67   CONTINUED:                                                      67,,,,,,,,
,,,,,,,,
     Now Trevor removes his grandfather's pocket watch from,,,,,,,,
     his briefcase and furtively dangles it for Cesar to,,,,,,,,
     see.,,,,,,,,
,,,,,,,,
                                TREVOR,,,,,,,,
                         (calmly),,,,,,,,
"                  Since you were so concerned, I",,,,,,,,
                  though you might like to know... I,,,,,,,,
                  found my watch.,,,,,,,,
,,,,,,,,
"     Cesar glares at the watch, looks up at the video",,,,,,,,
     camera.,,,,,,,,
,,,,,,,,
                                CESAR,,,,,,,,
                  ... You broke into my locker.,,,,,,,,
"                  Dat's a serious felony, prof-eh.",,,,,,,,
                  You caught a case for sure now.,,,,,,,,
,,,,,,,,
                                TREVOR,,,,,,,,
"                  Whadda yuh propose to do, Cesar?",,,,,,,,
                  Tell Garcia?,,,,,,,,
                         (as Cesar weighs it),,,,,,,,
                  Whadda yuh gonna tell 'im? That I,,,,,,,,
                  broke into your locker to steal,,,,,,,,
                  back the watch you denied taking?,,,,,,,,
                  I don't think so. I'd say we're,,,,,,,,
"                  even now, wouldn't you, Cesar?",,,,,,,,
,,,,,,,,
                                CESAR,,,,,,,,
"                  No, I'd say we're just getting",,,,,,,,
"                  started, ese.",,,,,,,,
,,,,,,,,
     Cesar walks out. Trevor smiles innocuously. At a,,,,,,,,
     stalemate now. You can hear a pin drop. Suddenly,,,,,,,,
     the CRIES of an E.N.A.B.L. BABY break the palpable,,,,,,,,
     tension...,,,,,,,,
,,,,,,,,
,,,,,,,,
68   EXT. TREVOR'S HOUSE - 4 P.M.                                    68,,,,,,,,
,,,,,,,,
     ... Trevor's Rambler is parked out front.,,,,,,,,
,,,,,,,,
,,,,,,,,
69   INT. TREVOR'S LIVING ROOM - CONTINUOUS ACTION                   69,,,,,,,,
,,,,,,,,
"     A stilted Rita, planted on the couch.    Wearing less",,,,,,,,
     makeup than usual.,,,,,,,,
,,,,,,,,
     Her notebook and pens are laid out on the coffee table,,,,,,,,
     along with an old English grammar textbook. Trevor,,,,,,,,
     stands in the kitchen doorway...,,,,,,,,
,,,,,,,,
                                                       (CONTINUED),,,,,,,,
,,,,,,,,
                                                                 65.,,,,,,,,
,,,,,,,,
69   CONTINUED:                                                         69,,,,,,,,
,,,,,,,,
                                TREVOR,,,,,,,,
                  Want something to drink?    We have,,,,,,,,
"                  Coke, Fanta or Sprite...",,,,,,,,
,,,,,,,,
                                RITA,,,,,,,,
                         (self-consciously),,,,,,,,
                  ... Coke's awright.,,,,,,,,
,,,,,,,,
     OFF Trevor's mollifying nod...,,,,,,,,
,,,,,,,,
,,,,,,,,
70   INT. TREVOR'S KITCHEN - TREVOR                                     70,,,,,,,,
,,,,,,,,
     A moment of self-examination as he pours a glass of Coke,,,,,,,,
     for Rita...,,,,,,,,
,,,,,,,,
                                TREVOR,,,,,,,,
                         (to Rita offstage),,,,,,,,
"                  'Want you to know, you're not the",,,,,,,,
                  only one risking a reputation,,,,,,,,
                  here. Normally I don't tutor,,,,,,,,
                  students at my house.,,,,,,,,
                         (adds ice cubes),,,,,,,,
"                  Rita, maybe you can clear",,,,,,,,
                  something up. Can you explain,,,,,,,,
                  to me what machismo is all about?,,,,,,,,
                  Cuz this whole respect/code of,,,,,,,,
                  honor thing baffles me.,,,,,,,,
,,,,,,,,
,,,,,,,,
71   INT. TREVOR'S LIVING ROOM                                          71,,,,,,,,
,,,,,,,,
"     as Trevor approaches the couch, eyes focused on Rita's",,,,,,,,
     soda.,,,,,,,,
,,,,,,,,
                                TREVOR,,,,,,,,
                         (preoccupied),,,,,,,,
                  Ask yourself this question. Is,,,,,,,,
                  pride really that important?,,,,,,,,
,,,,,,,,
     Now he looks up and freezes.    Quickly turns away.,,,,,,,,
,,,,,,,,
"     Rita, lying on the couch, completely naked.        Not sexual in",,,,,,,,
"     the least. More like a distorted offering.         Or a patient,",,,,,,,,
     placidly waiting for her doctor.,,,,,,,,
,,,,,,,,
                                TREVOR,,,,,,,,
                         (plainly),,,,,,,,
"                  Put your clothes on, Rita.",,,,,,,,
,,,,,,,,
     An awkward moment. Chagrin becomes repressed sobs as,,,,,,,,
     Rita picks up her pile of clothes off the floor and gets,,,,,,,,
     dressed. This is one fucked-up little girl.,,,,,,,,
,,,,,,,,
