,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
"                         You did want to know, didn't you?",,,,,,,,
,,,,,,,,
               And now from her--,,,,,,,,
,,,,,,,,
                                                                    CUT TO:,,,,,,,,
,,,,,,,,
"               WOODWARD and BERNSTEIN in a corner of the room, talking low ",,,,,,,,
               and fast.,,,,,,,,
,,,,,,,,
                                     BERNSTEIN,,,,,,,,
"                         You think we're being set up?--Christ, ",,,,,,,,
                         Deep Throat tells you last night ,,,,,,,,
                         that the letter came from inside the ,,,,,,,,
                         White House and up traipses Marilyn ,,,,,,,,
                         naming names.,,,,,,,,
,,,,,,,,
                                     WOODWARD,,,,,,,,
                         It makes a crazy kind of sense--,,,,,,,,
                         remember that initiation rite they ,,,,,,,,
                         have at the White House? Each new ,,,,,,,,
                         member of the President's staff has ,,,,,,,,
                         to prove his guts by getting an enemy ,,,,,,,,
                         of Nixon.,,,,,,,,
,,,,,,,,
                                     BERNSTEIN,,,,,,,,
                         You think this was Clawsen's ,,,,,,,,
                         initiation?,,,,,,,,
,,,,,,,,
                                     WOODWARD,,,,,,,,
                         Could have won him a fraternity paddle ,,,,,,,,
                         with a White House seal.,,,,,,,,
                              (beat),,,,,,,,
                         God knows it worked.,,,,,,,,
,,,,,,,,
                                                                    CUT TO:,,,,,,,,
,,,,,,,,
"               A FROZEN SHOT OF MUSKIE IN THE SNOW in tears, standing on ",,,,,,,,
"               the flat-bed truck. This was in the New Hampshire primary, ",,,,,,,,
               just after the Canuck letter was published.,,,,,,,,
,,,,,,,,
                                     WOODWARD (V.O.),,,,,,,,
                         You claiming it was all a ,,,,,,,,
"                         misunderstanding, Ken?",,,,,,,,
,,,,,,,,
                                     CLAWSEN (V.O.),,,,,,,,
                         Absolutely--Marilyn's gotten it ,,,,,,,,
                         totally wrong--,,,,,,,,
,,,,,,,,
                                                                    CUT TO:,,,,,,,,
,,,,,,,,
               WOODWARD ON THE PHONE,,,,,,,,
,,,,,,,,
                                     WOODWARD,,,,,,,,
                         She's an awfully good reporter--I ,,,,,,,,
                         can't remember her getting too much ,,,,,,,,
"                         wrong before, can you?",,,,,,,,
,,,,,,,,
                                     CLAWSEN (V.O.),,,,,,,,
"                         That's a bullshit question, that's a ",,,,,,,,
"                         question straight out of Wichita, ",,,,,,,,
                         Kansas.,,,,,,,,
,,,,,,,,
                                     WOODWARD,,,,,,,,
"                         Sorry, Ken; listen, one last thing: ",,,,,,,,
                         where did your talk with Berger ,,,,,,,,
                         happen?,,,,,,,,
,,,,,,,,
                                     CLAWSEN (V.O.),,,,,,,,
                         Where?,,,,,,,,
                              (beat),,,,,,,,
"                         What do you mean, where?",,,,,,,,
,,,,,,,,
                                     WOODWARD,,,,,,,,
"                         Well, was it in a bar, her apartment, ",,,,,,,,
                         some restaurant--,,,,,,,,
,,,,,,,,
                                     CLAWSEN (V.O.),,,,,,,,
                         --I've completely forgotten where it ,,,,,,,,
"                         was, except I know it wasn't her ",,,,,,,,
                         apartment.,,,,,,,,
,,,,,,,,
               There is a sound of him hanging up the phone. Hard. WOODWARD ,,,,,,,,
"               hangs up quietly, rubs his eyes, calls out to BERGER who is ",,,,,,,,
               at her desk--,,,,,,,,
,,,,,,,,
                                     WOODWARD,,,,,,,,
"                         Non denial-denial, Marilyn--",,,,,,,,
,,,,,,,,
               BERGER is about to answer when her phone rings. She picks it ,,,,,,,,
