,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
"           know that, Max?",,,,,,,,
                         ,,,,,,,,
          85 INT. MAX AND SAM'S ROOM  MORNING 85,,,,,,,,
                         ,,,,,,,,
"           Max enters and takes off his coat. Sam sits up, annoyed.",,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Man, I'm sorry. Go back to sleep.",,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           What's the point? I have to be up in 15,,,,,,,,
           minutes anyway. Not that I could sleep.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           I didn't sleep either, but for some",,,,,,,,
           reason I'm still refreshed. I feel great.,,,,,,,,
                         ,,,,,,,,
           Sam stares at him.,,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           What the fuck is your problem?,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           It's Julie. Last night we officially,,,,,,,,
           became a couple.,,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           Officially?,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           We hooked up.,,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           That doesn't mean anything.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           It meant something to me.,,,,,,,,
                         ,,,,,,,,
           Sam considers him.,,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           I don't believe you. Just last week you,,,,,,,,
           told me the happy should be quarantined.,,,,,,,,
           I don't know you anymore.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Still down about Jen, huh?",,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           We broke up for good last night.,,,,,,,,
                         ,,,,,,,,
           He gets out of bed and starts dressing.,,,,,,,,
           91.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Oh, man, I'm sorry.",,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
           I thought I knew what I was doing. Ever,,,,,,,,
"           since she became my girlfriend, I've felt",,,,,,,,
           more and more constricted. Like I was,,,,,,,,
           trapped under the weight of the label.,,,,,,,,
"           ""My girlfriend."" ""Her boyfriend.""",,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           You guys were together a long time.,,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
"           Yeah, we were.",,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           Have fun in Saturday lab.,,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
"           Ah, eat shit and die.",,,,,,,,
                         ,,,,,,,,
          86 INT. COMMON ROOM -- HOURS LATER 86,,,,,,,,
                         ,,,,,,,,
"           Max is alone, playing ""Goldeneye"" with a dopey smile on his",,,,,,,,
"           face. Charles comes in, rolls of blueprints under his arm.",,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
"           What's this, ""Goldeneye""?",,,,,,,,
                         ,,,,,,,,
           Charles sits and they play against each other.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           Yeah...,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           Have you been here all day?,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Yeah, this game's so much fun.",,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
"           Max, gotta tell you, you're really",,,,,,,,
           creeping me out.,,,,,,,,
                         ,,,,,,,,
"           Tommy comes out of his room, dressed in a shirt and tie.",,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           Sam said the same thing. He's still,,,,,,,,
           depressed.,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           Still can't believe he broke up with Jen.,,,,,,,,
           I saw her yesterday and she looked sad.,,,,,,,,
                          [MORE],,,,,,,,
           92.,,,,,,,,
                         ,,,,,,,,
                          CHARLES (CONT'D),,,,,,,,
"           I asked her how she was doing, and she",,,,,,,,
"           said ""Fine,"" and asked me why I was",,,,,,,,
           asking.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           A non-denial denial. I invented that.,,,,,,,,
           She's learned from the best.,,,,,,,,
                         ,,,,,,,,
                          TOMMY,,,,,,,,
"           I saw her, too. She didn't seem upset to",,,,,,,,
           me.,,,,,,,,
                         ,,,,,,,,
          Charles kills Max with a rocket launcher.,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           I was hanging with Sara. That girl pisses,,,,,,,,
"           me off! She'll say the dumbest things,",,,,,,,,
"           like, the Breeders are better than the",,,,,,,,
           Beatles.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           Happiness is a warm gun.,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           I wouldn't go that far. She's just a,,,,,,,,
"           daffy dame, that's all. Now, Stacy's",,,,,,,,
"           foxy, but she's too serious.",,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           What about Beth?,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           What about her?,,,,,,,,
                         ,,,,,,,,
"          Sam comes in, totally morose. Silently, he joins them in",,,,,,,,
"          three-player mode, then quickly kills himself with a rocket",,,,,,,,
          launcher.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           You just came from Jen's, huh?",,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
"           Yeah, we just broke up for good.",,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
"           Oh, man, I'm sorry. Was it you or her?",,,,,,,,
                         ,,,,,,,,
                          SAM,,,,,,,,
"           Me. Us. Both. It was just time, I guess.",,,,,,,,
           (puts down the joystick),,,,,,,,
"           I have to go, uh, mail a letter or",,,,,,,,
           something.,,,,,,,,
                         ,,,,,,,,
"          He puts on his coat and leaves. Charles, Tommy, and Max",,,,,,,,
          exchange looks. Max turns off the game.,,,,,,,,
           93.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Well, that took the wind out of my sails.",,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
                          (NOTICING TOMMY),,,,,,,,
           What's up with you? Got another date with,,,,,,,,
           Amanda?,,,,,,,,
                         ,,,,,,,,
                          TOMMY,,,,,,,,
           It wasn't a date.,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
"           A no-show, huh?",,,,,,,,
                         ,,,,,,,,
                          TOMMY,,,,,,,,
"           Yeah, but it's okay. Today's her",,,,,,,,
"           birthday, and she invited me out for",,,,,,,,
           dinner at a nice restaurant.,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           She invited all of us.,,,,,,,,
                         ,,,,,,,,
                          TOMMY,,,,,,,,
"           Oh? Well, that's cool, too.",,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           It's barely lunch, why are you dressed",,,,,,,,
           up?,,,,,,,,
                         ,,,,,,,,
                          TOMMY,,,,,,,,
           I don't want to wait til the last minute,,,,,,,,
           to pick out my clothes.,,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           Are you really wearing that tie?,,,,,,,,
                         ,,,,,,,,
                          TOMMY,,,,,,,,
"           Damn, I knew this was the wrong one!",,,,,,,,
                         ,,,,,,,,
           He runs into his room. Charles laughs at him.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
           I don't wanna go to a birthday party. I'm,,,,,,,,
"           broke, and I wanna hang out with Julie.",,,,,,,,
                         ,,,,,,,,
                          CHARLES,,,,,,,,
           So take her. And pray Sara's not there.,,,,,,,,
                         ,,,,,,,,
          87 EXT. CAMPUS PARKING LOT  EVENING 87,,,,,,,,
                         ,,,,,,,,
"           Max and Julie walk through the snow together, toward a",,,,,,,,
           parking lot. She's taking deep drags off a cigarette.,,,,,,,,
           94.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                          JULIE,,,,,,,,
           This has been some crazy week. I still,,,,,,,,
           have a six page paper due Monday.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Six pages? That's nothing. Triple spaced,",,,,,,,,
"           in 14 point type, that's only like 500",,,,,,,,
           words. If a picture's worth a thousand,,,,,,,,
"           words, that's like a bad photocopy.",,,,,,,,
                         ,,,,,,,,
                          JULIE,,,,,,,,
"           Don't worry about it, I needed a break.",,,,,,,,
           Good to get out and enjoy the weather.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           What are you, from Maine?",,,,,,,,
                         ,,,,,,,,
                          JULIE,,,,,,,,
           No.,,,,,,,,
                         ,,,,,,,,
                          MAX,,,,,,,,
"           Phew, because I don't know if I'd be able",,,,,,,,
           to handle something like that. That's a,,,,,,,,
           hard thing to drop on a person.,,,,,,,,
                         ,,,,,,,,
                          JULIE,,,,,,,,
           I'm from northern Vermont. Not too far,,,,,,,,
           from Canada.,,,,,,,,
                         ,,,,,,,,
