,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
          This isn't about me and you-,,,,,,,,
,,,,,,,,
                       ANNA,,,,,,,,
          -This is about me and you! You think you,,,,,,,,
          can make up for what happened. The fact,,,,,,,,
"          you didn't notice, couldn't save me in",,,,,,,,
          time. You were a child! I was a child!,,,,,,,,
          You couldn't have saved your father,,,,,,,,
"          either! Your mother couldn't have, no one",,,,,,,,
          could have! He was a fucking pedophile!,,,,,,,,
,,,,,,,,
Zoey slaps Anna across the face.,,,,,,,,
,,,,,,,,
                       ANNA (CONT'D),,,,,,,,
"          Hate me all you want, but it's impossible",,,,,,,,
          to redeem yourself for things you had no,,,,,,,,
          control over.,,,,,,,,
Jack is sick and tired of this display.,,,,,,,,
,,,,,,,,
                       JACK,,,,,,,,
          Just show her the fucking file.,,,,,,,,
,,,,,,,,
Jack gets up.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          (confused),,,,,,,,
          What fucking file?,,,,,,,,
,,,,,,,,
,,,,,,,,
EXT. LOUIS APARTMENT-CONTINUOUS,,,,,,,,
,,,,,,,,
Quinn runs toward Louis' apartment. His KNOCKS sound like,,,,,,,,
a jackhammer on the door.,,,,,,,,
,,,,,,,,
Louis answers.,,,,,,,,
                                                       46.,,,,,,,,
,,,,,,,,
,,,,,,,,
                        QUINN,,,,,,,,
           We have a problem.,,,,,,,,
,,,,,,,,
                        LOUIS,,,,,,,,
           You're right. We do.,,,,,,,,
,,,,,,,,
Louis moves slightly and we see Ryan Blood in the,,,,,,,,
background.,,,,,,,,
,,,,,,,,
Louis slowly closes the door in a stunned Quinn's face.,,,,,,,,
,,,,,,,,
,,,,,,,,
INT. LOUIS APARTMENT,,,,,,,,
,,,,,,,,
Louis turns toward Ryan.,,,,,,,,
,,,,,,,,
                        LOUIS,,,,,,,,
           I thought coming here would give us some,,,,,,,,
           privacy from Quinn.,,,,,,,,
,,,,,,,,
                        RYAN BLOOD,,,,,,,,
           I think it worked out perfectly.,,,,,,,,
,,,,,,,,
,,,,,,,,
INT. ZOEY'S APARTMENT BUILDING-CONTINUOUS,,,,,,,,
,,,,,,,,
Jack walks into the room holding a file folder. Zoey is,,,,,,,,
sitting on the couch trying to get a grip.,,,,,,,,
,,,,,,,,
Jack throws the file in her lap.,,,,,,,,
,,,,,,,,
                        ZOEY,,,,,,,,
           So is the file folder for dramatic,,,,,,,,
           effect?,,,,,,,,
,,,,,,,,
                        JACK,,,,,,,,
           No it was to keep everything organized...,,,,,,,,
           (beat),,,,,,,,
           ...and for dramatic effect.,,,,,,,,
,,,,,,,,
Suddenly Zoey's cell phon rings.,,,,,,,,
,,,,,,,,
She sets the folder aside and answers.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
           Quinn?,,,,,,,,
,,,,,,,,
INTERCUT,,,,,,,,
,,,,,,,,
,,,,,,,,
EXT. STREET CORNER,,,,,,,,
,,,,,,,,
"Quinn is on a pay phone, he's shaking. At this point he",,,,,,,,
is lost on what his next move should be.,,,,,,,,
                                                      47.,,,,,,,,
,,,,,,,,
,,,,,,,,
                        QUINN,,,,,,,,
          Ryan Blood!,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          You mentioned that earlier. What is going,,,,,,,,
          on?,,,,,,,,
,,,,,,,,
                       QUINN,,,,,,,,
          He's with Louis. They're planning to kill,,,,,,,,
          me.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          I thought that was the whole plan.,,,,,,,,
,,,,,,,,
                       QUINN,,,,,,,,
          No it's...this isn't like Louis. I think,,,,,,,,
          he is trying to cheat his way to a win.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          Why don't you come over here.,,,,,,,,
,,,,,,,,
                        QUINN,,,,,,,,
          I can't!,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          Come on Quinn get a grip. Just calm down,,,,,,,,
          and come over here.,,,,,,,,
,,,,,,,,
                       QUINN,,,,,,,,
          You're right.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          OK so just come on over and we'll talk.,,,,,,,,
,,,,,,,,
                       QUINN,,,,,,,,
          No I mean you're right. I need to get,,,,,,,,
          control of myself. I have a destiny. I,,,,,,,,
          need to figure out my next move.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          Quinn? No wait-,,,,,,,,
,,,,,,,,
Quinn hangs up the phone.,,,,,,,,
,,,,,,,,
,,,,,,,,
ZOEY AND ANNA'S APARTMENT,,,,,,,,
,,,,,,,,
Zoey slowly drops her cell phone to the floor. Jack picks,,,,,,,,
up the folder Zoey set aside.,,,,,,,,
,,,,,,,,
                        JACK,,,,,,,,
          What is it?,,,,,,,,
                                                       48.,,,,,,,,
,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          I don't know. He's losing it.,,,,,,,,
,,,,,,,,
Jack hands her the folder.,,,,,,,,
,,,,,,,,
                       JACK,,,,,,,,
          You need to look at this.,,,,,,,,
,,,,,,,,
Zoey takes the folder from him and starts reading.,,,,,,,,
,,,,,,,,
                       JACK (CONT'D),,,,,,,,
          I spent a lot of time gathering that,,,,,,,,
          information.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          So what is all this?,,,,,,,,
,,,,,,,,
                       JACK,,,,,,,,
          Quinn Wilson and Louis Marks were,,,,,,,,
          orphans.,,,,,,,,
,,,,,,,,
Zoey is flipping through documents.,,,,,,,,
,,,,,,,,
                       JACK (CONT'D),,,,,,,,
          Quinn displayed some erratic behavior,,,,,,,,
          from the beginning. One of the staff,,,,,,,,
          members was Mormon and they would read,,,,,,,,
          stories to Quinn out of the Book Of,,,,,,,,
"          Mormon. That employee was later fired,",,,,,,,,
          but a seed was planted in Quinn's head.,,,,,,,,
          He kept going on about how he and Louis,,,,,,,,
          were meant to fight to the death. Some of,,,,,,,,
          the children at the time claim Louis,,,,,,,,
          would encourage this behavior. He,,,,,,,,
          probably thought this was Quinn's attempt,,,,,,,,
          at playing.,,,,,,,,
          (beat),,,,,,,,
          As things continued the staff at the,,,,,,,,
          orphanage thought Quinn needed help,,,,,,,,
          beyond what they could offer. They sent,,,,,,,,
          Quinn to a hospital.,,,,,,,,
,,,,,,,,
"Zoey puts the folder down, the documents fall to the",,,,,,,,
floor.,,,,,,,,
,,,,,,,,
                       ZOEY,,,,,,,,
          You're not telling me anything I didn't,,,,,,,,
          already know.,,,,,,,,
,,,,,,,,
                       ANNA,,,,,,,,
          That makes it worse. You're going to,,,,,,,,
