,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
                   Thank you.,,,,,,,,
,,,,,,,,
      Rose stops. Turns,,,,,,,,
,,,,,,,,
                             MIDDLE AGED WOMAN,,,,,,,,
                   For what you did. Thank you.,,,,,,,,
,,,,,,,,
      Rose nods and continues on to the van.,,,,,,,,
,,,,,,,,
,,,,,,,,
110   INT. VAN - DAY                                                  110,,,,,,,,
,,,,,,,,
      They ride down an Albuquerque street in silence.,,,,,,,,
,,,,,,,,
                             ROSE,,,,,,,,
                   You want a Coke?,,,,,,,,
,,,,,,,,
                                NORAH,,,,,,,,
                   Sure.,,,,,,,,
,,,,,,,,
                                    GREEN REVISION 3/5/07        71.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
111   INT. GAS STATION FOODMART - DAY                                  111,,,,,,,,
,,,,,,,,
      Rose fills a cup at the soda fountain. Through the window she,,,,,,,,
      sees Mac and family pull up on the other side of the store.,,,,,,,,
,,,,,,,,
"      Mac gets out and pumps gas. The woman, HEATHER, laughs with",,,,,,,,
      the little girl in the back seat. They look happy.,,,,,,,,
,,,,,,,,
      Rose's fountain drink overflows.,,,,,,,,
,,,,,,,,
                          ROSE,,,,,,,,
                Dammit.,,,,,,,,
,,,,,,,,
      Rose grabs for a napkin which clumps and tears.,,,,,,,,
,,,,,,,,
      The door BEEPS. Rose jumps behind the candy rack and peeks,,,,,,,,
      around. All clear. She turns and smacks into Heather. Heather,,,,,,,,
      glares at Rose.,,,,,,,,
,,,,,,,,
                          HEATHER,,,,,,,,
                You think I don't know?,,,,,,,,
,,,,,,,,
      Heather trembles with anger. Rose stands frozen.,,,,,,,,
,,,,,,,,
                          HEATHER,,,,,,,,
                You may have been hot shit in high,,,,,,,,
                school but what are you now?,,,,,,,,
                Nothing. A waste of space.,,,,,,,,
,,,,,,,,
      Heather reaches out and gives Rose a little push. Ten years,,,,,,,,
      of anger culminating in this one anti climactic gesture.,,,,,,,,
,,,,,,,,
      Rose watches Heather walk away and knows every word is true.,,,,,,,,
,,,,,,,,
