,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
                           FRANK,,,,,,,,
              That's my job.,,,,,,,,
     Rachel looks at him.,,,,,,,,
                           RACHEL,,,,,,,,
              And you'd do it? Why?,,,,,,,,
                           FRANK,,,,,,,,
              I can't sing.,,,,,,,,
                           RACHEL,,,,,,,,
              Maybe there's some glory in saving,,,,,,,,
"              a president or something, but just",,,,,,,,
              anyone...,,,,,,,,
                           FRANK,,,,,,,,
              You mean like you?    It's a matter,,,,,,,,
,,,,,,,,
                                                         64.,,,,,,,,
,,,,,,,,
          of conditioning and discipline.,,,,,,,,
                       RACHEL,,,,,,,,
          I don't trust discipline. At the,,,,,,,,
          crucial moment I'd cop out.,,,,,,,,
                       FRANK,,,,,,,,
          That happens.,,,,,,,,
                       RACHEL,,,,,,,,
"          But not with you, Fierce Frank.",,,,,,,,
                         FRANK,,,,,,,,
          It happens.,,,,,,,,
A beat.,,,,,,,,
,,,,,,,,
                       RACHEL,,,,,,,,
          Have you ever liked anybody?,,,,,,,,
                       FRANK,,,,,,,,
          What do you mean?,,,,,,,,
                       RACHEL,,,,,,,,
          Like me -- a girl.,,,,,,,,
Frank knows what she's driving at. But he's not at all,,,,,,,,
happy to relinquish this information.,,,,,,,,
                       FRANK,,,,,,,,
          A long time ago.,,,,,,,,
                       RACHEL,,,,,,,,
          What happened? Do you mind if I,,,,,,,,
          ask?,,,,,,,,
                       FRANK,,,,,,,,
          Do you mind if I don't answer?,,,,,,,,
                       RACHEL,,,,,,,,
          I don't want to pry...,,,,,,,,
Frank smiles at that.,,,,,,,,
                       RACHEL,,,,,,,,
"                 (begins to laugh,",,,,,,,,
                  can't help herself),,,,,,,,
          She didn't die did she? You,,,,,,,,
          weren't like... protecting her and,,,,,,,,
          she got killed?,,,,,,,,
"Frank is silent, grim.    Rachel looks stricken.",,,,,,,,
                         RACHEL,,,,,,,,
"          Oh, my god!    That's it, isn't it?",,,,,,,,
,,,,,,,,
                                                                   65.,,,,,,,,
,,,,,,,,
                           FRANK,,,,,,,,
              Nobody's perfect.,,,,,,,,
     Rachel is taken aback.,,,,,,,,
                           RACHEL,,,,,,,,
"              Oh Frank, I'm sorry.",,,,,,,,
,,,,,,,,
     Frank laughs.,,,,,,,,
                           FRANK,,,,,,,,
              No... Nice try though.,,,,,,,,
                     (pause),,,,,,,,
              It was less dramatic than that.,,,,,,,,
              She didn't love me anymore. Can,,,,,,,,
              you imagine such a thing?,,,,,,,,
,,,,,,,,
     Frank puts a smiling spin on this last; it's pretty,,,,,,,,
     charming. Rachel looks at him.,,,,,,,,
                           RACHEL,,,,,,,,
"              No, not really.",,,,,,,,
     A SONG comes on the JUKEBOX -- 'WHAT BECOMES OF THE BROKEN,,,,,,,,
     HEARTED.' Frank smiles as Rachel begins to sing.,,,,,,,,
                           RACHEL,,,,,,,,
"              So, is this a full service date,",,,,,,,,
              Frank?,,,,,,,,
     Frank's wary.,,,,,,,,
                           RACHEL,,,,,,,,
              I'm just asking you to dance.,,,,,,,,
,,,,,,,,
87   INT. DANCE FLOOR - NIGHT                                 87,,,,,,,,
     Frank and Rachel navigate a tiny dance floor. Frank is a,,,,,,,,
     surprisingly good dancer and is comfortable being this,,,,,,,,
     close to her.,,,,,,,,
"     Rachel hums softly, picking up the words to the song.   As",,,,,,,,
     we listen to the lyrics something clicks in her head.,,,,,,,,
                           RACHEL,,,,,,,,
              You like this?,,,,,,,,
                              FRANK,,,,,,,,
              Yeah.,,,,,,,,
"     A beat, then Rachel bursts out laughing.",,,,,,,,
                            FRANK,,,,,,,,
                      (reddening),,,,,,,,
              What?,,,,,,,,
,,,,,,,,
                                                                      66.,,,,,,,,
,,,,,,,,
                           RACHEL,,,,,,,,
                     (trying to compose,,,,,,,,
                      herself),,,,,,,,
              I'm sorry... It's just that...,,,,,,,,
              It's so depressing.,,,,,,,,
     Now they're both laughing.,,,,,,,,
,,,,,,,,
                           FRANK,,,,,,,,
                     (grinning),,,,,,,,
"              It is, isn't it.",,,,,,,,
"     Suddenly a dish drops to the floor. Frank, still dancing,",,,,,,,,
     makes a smooth quick turn that puts his body between,,,,,,,,
     Rachel and the noise. His head turns to locate the source,,,,,,,,
     of the noise.,,,,,,,,
,,,,,,,,
                           RACHEL,,,,,,,,
"              Don't worry, I'll protect you.",,,,,,,,
"     They drift back into the music, Rachel singing, Frank",,,,,,,,
     watching.,,,,,,,,
,,,,,,,,
88   EXT. FRANK'S HOUSE - NIGHT                                  88,,,,,,,,
     Frank's car is parked in the driveway.    A light goes on,,,,,,,,
     in a basement window.,,,,,,,,
,,,,,,,,
89   INT. FRANK'S HOUSE - BASEMENT                               89,,,,,,,,
"     Frank hangs back, drink in hand, as Rachel explores the",,,,,,,,
     basement. Frank has fitted it out as a combination gym/,,,,,,,,
     target range/weapons workshop. The place has a kind of,,,,,,,,
"     unfussy order about it, a simplicity.",,,,,,,,
                           RACHEL,,,,,,,,
                     (almost to herself),,,,,,,,
              It's very quiet here.,,,,,,,,
     She walks to some shelves -- a random selection of,,,,,,,,
"     books, football and karate trophies, framed citations",,,,,,,,
     and other memorabilia. She glances at a dusty framed,,,,,,,,
     photo of a football team.,,,,,,,,
                           RACHEL,,,,,,,,
                     (reading),,,,,,,,
              West Virginia University Football.,,,,,,,,
"              God, look at you.",,,,,,,,
"     She looks at Frank, quizzically.",,,,,,,,
                           RACHEL,,,,,,,,
              What'd you play?,,,,,,,,
,,,,,,,,
                                                           67.,,,,,,,,
,,,,,,,,
                        FRANK,,,,,,,,
         End.,,,,,,,,
                      RACHEL,,,,,,,,
         Were you tough?,,,,,,,,
                        FRANK,,,,,,,,
         No.    Fast.,,,,,,,,
Rachel puts down her drink and moves toward a samurai,,,,,,,,
sword that is mounted in its scabbard on the wall. She,,,,,,,,
