,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
             This is strictly between the,,,,,,,,
"             three of us. Don't worry, man.",,,,,,,,
,,,,,,,,
Seroke shakes hands with them as he's leaving.,,,,,,,,
                           STANLEY,,,,,,,,
                    (slapping his back),,,,,,,,
             Take it easy.,,,,,,,,
Stanley goes to the cupboard for another beer.,,,,,,,,
,,,,,,,,
                           STANLEY (O.S.),,,,,,,,
"             A beer, Lanie?",,,,,,,,
                           BEN,,,,,,,,
                    (shouting),,,,,,,,
"             No, thank you. You know, Stanley,",,,,,,,,
             after what happened the other,,,,,,,,
             night I was about to give this,,,,,,,,
             whole thing up.,,,,,,,,
                                             (CONTINUED),,,,,,,,
,,,,,,,,
                                                       134.,,,,,,,,
,,,,,,,,
CONTINUED:,,,,,,,,
                           STANLEY,,,,,,,,
                    (intrigued),,,,,,,,
"             What happened, man?",,,,,,,,
                           BEN,,,,,,,,
             My wife nearly got killed. Three,,,,,,,,
             shots were fired into the house.,,,,,,,,
             What right have I to expose my,,,,,,,,
             family to harassment and actual,,,,,,,,
             physical danger? That's what I,,,,,,,,
             asked myself.,,,,,,,,
,,,,,,,,
                           STANLEY,,,,,,,,
             Three bloody shots and you crawl,,,,,,,,
             on your hands and knees to people,,,,,,,,
"             like Stolz, and say 'I give up.'",,,,,,,,
             What is the beginning for you is a,,,,,,,,
             version of what we suffer all our,,,,,,,,
"             bloody life. Shit, I thought you",,,,,,,,
"             had more guts than this, man!",,,,,,,,
                           BEN,,,,,,,,
             I didn't say I'm giving up.,,,,,,,,
,,,,,,,,
                           STANLEY,,,,,,,,
             But you thought about it.,,,,,,,,
                           BEN,,,,,,,,
             Johnson has revived my,,,,,,,,
             determination.,,,,,,,,
                           STANLEY,,,,,,,,
"             It's a hell of a time, Lanie, but",,,,,,,,
             we'll survive. You and me. I,,,,,,,,
             tell you!,,,,,,,,
                           BEN,,,,,,,,
             You think we may still win in the,,,,,,,,
"             end, Stanley?",,,,,,,,
                           STANLEY,,,,,,,,
"             Of course not, Lanie -- but we",,,,,,,,
             needn't lose either -- what,,,,,,,,
             matters is to stick around.,,,,,,,,
,,,,,,,,
Ben nods.,,,,,,,,
,,,,,,,,
                           STANLEY,,,,,,,,
"             By the way, man, I'm off on a trip",,,,,,,,
             -- Botswana -- thought I'd tell,,,,,,,,
             you in case you get worried.,,,,,,,,
,,,,,,,,
                           BEN,,,,,,,,
             Why are you going there?,,,,,,,,
,,,,,,,,
                                              (CONTINUED),,,,,,,,
,,,,,,,,
                                                       135.,,,,,,,,
,,,,,,,,
CONTINUED:,,,,,,,,
                           STANLEY,,,,,,,,
             Business. Tell you next week.,,,,,,,,
             Now for the bad news I've been,,,,,,,,
             saving to the last.,,,,,,,,
                          BEN,,,,,,,,
             What?,,,,,,,,
,,,,,,,,
                           STANLEY,,,,,,,,
             Julius has been arrested. He,,,,,,,,
             broke his banning order and,,,,,,,,
             visited his sister. You know what,,,,,,,,
             that means? At least a year's,,,,,,,,
             imprisonment.,,,,,,,,
,,,,,,,,
                           BEN,,,,,,,,
             A year in jail just for visiting,,,,,,,,
             his sister?,,,,,,,,
                           STANLEY,,,,,,,,
             That's the chance he took. And,,,,,,,,
             he'll be the last to complain.,,,,,,,,
                           BEN,,,,,,,,
             Don't you think the real reason,,,,,,,,
             for this arrest was that they,,,,,,,,
             found out he was helping us?,,,,,,,,
                           STANLEY,,,,,,,,
"             So what? Lanie, you're not",,,,,,,,
"             getting guilt complexes now, are",,,,,,,,
             you? That's a luxury only,,,,,,,,
             liberals can afford. Julius will,,,,,,,,
"             be back, man. All refreshed by a",,,,,,,,
             spell in the deep-freeze.,,,,,,,,
                           BEN,,,,,,,,
             How can we shrug off a man we've,,,,,,,,
             been working with?,,,,,,,,
                           STANLEY,,,,,,,,
             Who said we're shrugging him off?,,,,,,,,
"             Best way of remembering a man,",,,,,,,,
"             Lanie, is to carry on fighting.",,,,,,,,
,,,,,,,,
INT. BEN'S STUDY - DAY,,,,,,,,
,,,,,,,,
Ben's study is in chaos.,,,,,,,,
The books have been plucked from the shelves and the,,,,,,,,
contents of his drawers emptied on the floor.,,,,,,,,
,,,,,,,,
Ben standing in the middle of the room surveying the,,,,,,,,
vandalism.,,,,,,,,
,,,,,,,,
                                                    136.,,,,,,,,
,,,,,,,,
INT. BRUWER KITCHEN - AFTERNOON,,,,,,,,
This is a medium-sized kitchen with two doors leading,,,,,,,,
"from it, one to the dining room and the other to the",,,,,,,,
living room. It has not changed since it was furnished,,,,,,,,
"twenty years ago, the only modern appliances being the",,,,,,,,
electric stove and a modern mixer on the working table.,,,,,,,,
,,,,,,,,
Ben is leaning against the wall next to the door leading,,,,,,,,
"to the living room, drinking coffee.",,,,,,,,
"Melanie, bare-feet, her long black hair tied up in a",,,,,,,,
"ribbon, is washing up. She looks younger and fragile",,,,,,,,
with this hair-style.,,,,,,,,
                        BEN,,,,,,,,
                 (smiling),,,,,,,,
          What about you?,,,,,,,,
,,,,,,,,
                       MELANIE,,,,,,,,
          What?,,,,,,,,
                        BEN,,,,,,,,
          I mean not married...,,,,,,,,
                        MELANIE,,,,,,,,
          And living in this chaos with my,,,,,,,,
          eccentric father? I love him and,,,,,,,,
          we get on perfectly. We have,,,,,,,,
          been together since I was a year,,,,,,,,
          old. My mother could not adapt,,,,,,,,
          to South Africa. She went back,,,,,,,,
          to London and we've never heard,,,,,,,,
          from her since.,,,,,,,,
                        BEN,,,,,,,,
          Being a professor and bringing up,,,,,,,,
"          a child, how did he manage that?",,,,,,,,
,,,,,,,,
                        MELANIE,,,,,,,,
"          Dorothy, dear Dorothy, she was a",,,,,,,,
          fantastic mother. In fact she had,,,,,,,,
"          two families, me and her three",,,,,,,,
          children in Alexandra township.,,,,,,,,
                        BEN,,,,,,,,
          And this little girl grew up to be,,,,,,,,
          a tough journalist. Why a,,,,,,,,
          journalist?,,,,,,,,
                        MELANIE,,,,,,,,
                 (laughs),,,,,,,,
          Sometimes I ask myself the same,,,,,,,,
          question.,,,,,,,,
She leans against the sink and picks up her mug of,,,,,,,,
coffee.,,,,,,,,
                                           (CONTINUED),,,,,,,,
,,,,,,,,
                                                       137.,,,,,,,,
,,,,,,,,
CONTINUED:,,,,,,,,
                           MELANIE,,,,,,,,
             Alright. I'll tell you. I was,,,,,,,,
"             brought up in a sheltered way, not",,,,,,,,
"             that Dad was possessive, not",,,,,,,,
             openly anyway. I think he'd just,,,,,,,,
             seen enough of the mess the world,,,,,,,,
"             was in, to want to protect me as",,,,,,,,
"             much as he could. Then, I went",,,,,,,,
             to university. I don't know what,,,,,,,,
             you'll think... being a teacher.,,,,,,,,
,,,,,,,,
Pause.,,,,,,,,
                           BEN,,,,,,,,
             About what?,,,,,,,,
,,,,,,,,
                           MELANIE,,,,,,,,
             Then I married my ex-teacher.,,,,,,,,
