,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
          ,,,,,,,,
,,,,,,,,
                              GAMMA (O.S.),,,,,,,,
                    We weren't!,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              MUNTZ,,,,,,,,
                    Go ahead and moor your airship,,,,,,,,
                    right next to mine.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
"          Muntz gestures to a pylon, where Carl ties off the house.",,,,,,,,
          Muntz and the dogs walk up the gangplank of the dirigible.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              CARL,,,,,,,,
                    We're not actually going inside the,,,,,,,,
"                    ""Spirit of Adventure"" itself?!",,,,,,,,
,,,,,,,,
                                MUNTZ,,,,,,,,
                    Oh.    Would you like to?,,,,,,,,
,,,,,,,,
                              CARL,,,,,,,,
                    Would I?!?!,,,,,,,,
,,,,,,,,
          ,,,,,,,,
          Carl GIGGLES like a little boy.,,,,,,,,
,,,,,,,,
                              CARL,,,,,,,,
"                    Wait up, Mr. Muntz!",,,,,,,,
,,,,,,,,
          ,,,,,,,,
          Carl and Russell follow up the ramp.,,,,,,,,
,,,,,,,,
                              CARL,,,,,,,,
                    Jiminy Cricket.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
"          Dug follows, but is blocked by Alpha and Beta.",,,,,,,,
,,,,,,,,
                                BETA,,,,,,,,
                    Not you.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                                                                      64.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              GAMMA,,,,,,,,
                    What do we do with Dug?,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              ALPHA,,,,,,,,
                    He has lost the bird.     Put him in,,,,,,,,
                    the Cone of Shame.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
          Dug WHIMPERS.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          EXT. DIRIGIBLE GANGPLANK - MOMENTS LATER,,,,,,,,
,,,,,,,,
,,,,,,,,
          ,,,,,,,,
"          Alpha, Gamma and Beta walk into the dirigible.   Dug sits",,,,,,,,
          forlornly with a PLASTIC CONE around his neck.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              DUG,,,,,,,,
                    I do not like the Cone of Shame.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          INT. DIRIGIBLE - TROPHY ROOM,,,,,,,,
,,,,,,,,
          Carl and Russell are speechless as they walk into the room.,,,,,,,,
"          It's a treasure trove of giant skeletons, stuffed creatures,",,,,,,,,
          and rare cultural artifacts.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
          Various servant dogs dust and polish as Muntz leads Carl and,,,,,,,,
          Russell through the room.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              MUNTZ,,,,,,,,
                    Most of the collection is housed in,,,,,,,,
"                    the world's top museums: New York,",,,,,,,,
"                    Munich, London... `Course I kept",,,,,,,,
                    the best for myself.,,,,,,,,
,,,,,,,,
                              CARL,,,,,,,,
                    Did you ever! Will you look at that?,,,,,,,,
,,,,,,,,
                              MUNTZ,,,,,,,,
"                    Oh yes, the Arsinoitherium. Beast",,,,,,,,
                    charged while I was brushing my,,,,,,,,
                    teeth. Used my shaving kit to,,,,,,,,
                    bring him down.,,,,,,,,
          A dog approaches carrying a menu.    Muntz waves it off.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              MUNTZ,,,,,,,,
"                    Oh, surprise me.",,,,,,,,
                        (to Carl),,,,,,,,
                    Only way to get it out of Ethiopia,,,,,,,,
                    at the time was to have it declared,,,,,,,,
"                    as ""dental equipment!""",,,,,,,,
"          Muntz LAUGHS.   Behind him, a dog can't resist gnawing at one",,,,,,,,
          of the bones.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                                                                  65.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              CARL,,,,,,,,
"                    Oh my gosh, the Giant Somalian",,,,,,,,
                    Leopard Tortoise!,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                              MUNTZ,,,,,,,,
"                    Oh, you recognize it? I'm",,,,,,,,
                    impressed! That's an interesting,,,,,,,,
                    story there...,,,,,,,,
,,,,,,,,
          ,,,,,,,,
          A dog approaches with a bottle of champagne in his mouth.,,,,,,,,
          Muntz glances at the bottle.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
                               MUNTZ,,,,,,,,
"                    Hm, excellent choice.",,,,,,,,
                        (to Carl),,,,,,,,
                    I found it on safari with,,,,,,,,
                    Roosevelt.,,,,,,,,
          Two dogs work together to remove the cork from the bottle.,,,,,,,,
          POP! They sloppily pour two glasses.,,,,,,,,
,,,,,,,,
                              MUNTZ,,,,,,,,
                    He and I fell into a habit of,,,,,,,,
