,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
"          ""About to happen""? Milo is just starting to realize...",,,,,,,,
          ,,,,,,,,
                              MILO,,,,,,,,
                    You wouldn't...,,,,,,,,
          ,,,,,,,,
                              CASS,,,,,,,,
                        (SCREAMING),,,,,,,,
                    MILO BOYD IS IN HERE!,,,,,,,,
          ,,,,,,,,
                                                                  98.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          Son of a bitch. The bathroom door SHOOTS open and DWIGHT AND,,,,,,,,
"          RAY ENTER. They back Milo into a corner. Cass smiles at Milo,",,,,,,,,
"          waves, and exits.",,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT CHARLEY'S- AFTERNOON,,,,,,,,
          ,,,,,,,,
          Cass comes flying out of the club and runs right into:,,,,,,,,
          MAHLER. HE TAKES ONE LOOKS AT HER AND PUSHES HER BACK INSIDE.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT BATHROOM- AFTERNOON,,,,,,,,
          ,,,,,,,,
"          Dwight and Ray are frisking Milo, taking away his array of",,,,,,,,
          weapons.,,,,,,,,
          ,,,,,,,,
                              DWIGHT,,,,,,,,
                    Wow. You always carry this much,,,,,,,,
                    gear?,,,,,,,,
          ,,,,,,,,
                              MILO,,,,,,,,
                    Only during the holidays.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT CHARLEY'S- CONTINUOUS,,,,,,,,
          ,,,,,,,,
"          Milo is pushed out of the bathroom, and comes face to face",,,,,,,,
"          with CASS. MAHLER APPEARS FROM BEHIND HER, TAKES ONE LOOK AT",,,,,,,,
          MILO AND POINTS HIS GUN AT MILO'S HEAD.,,,,,,,,
          ,,,,,,,,
                              MAHLER,,,,,,,,
                    Remember me?,,,,,,,,
          ,,,,,,,,
                              DWIGHT,,,,,,,,
                    What the fuck?,,,,,,,,
          ,,,,,,,,
"          Dwight steps forward from behind Milo, AND POINTS HIS GUN AT",,,,,,,,
"          MAHLER. MAHLER REACTS, SHIFTING THE GUN TO DWIGHT. RAY STEPS",,,,,,,,
"          UP, GUN POINTED AT MAHLER.",,,,,,,,
          ,,,,,,,,
"          Momentary stand-off. Stuck between the bad guys, MILO AND",,,,,,,,
          CASS GIVE EACH OTHER EVIL LOOKS.,,,,,,,,
          ,,,,,,,,
          A half-naked dancer appears:,,,,,,,,
          ,,,,,,,,
                                DANCER,,,,,,,,
                    Lapdance?,,,,,,,,
          ,,,,,,,,
          Everyone looks at her. She is just realizing...,,,,,,,,
          ,,,,,,,,
                              DANCER,,,,,,,,
                    Maybe I should come back later...,,,,,,,,
          ,,,,,,,,
                                                                    99.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
"          ...WHEN MILO AND CASS SIMULTANEOUSLY MAKE THEIR MOVES, CASS",,,,,,,,
"          STOMPING ON MAHLER'S FOOT, CAUSING HIM TO LOOSEN HIS HOLD ON",,,,,,,,
"          HER, MILO SLAMMING HIS ELBOW BACK ONTO RAY'S ABDOMEN.",,,,,,,,
          ,,,,,,,,
          RAY'S GUN GOES OFF AS CASS AND MILO BOTH HIT THE FLOOR.,,,,,,,,
"          MAHLER REACTS, FIRING AT RAY. DWIGHT FIRES AT MAHLER...",,,,,,,,
          ,,,,,,,,
"          TOTAL PANDEMONIUM. Girls screaming, patrons running for the",,,,,,,,
          exit.,,,,,,,,
          ,,,,,,,,
          MAHLER AND DWIGHT BOTH GET HIT. Milo crawls over to a moaning,,,,,,,,
          Dwight and recovers his gun. He looks up in time to see CASS,,,,,,,,
          DISAPPEARING OUT THE FRONT DOOR.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT BOARDWALK- AFTERNOON,,,,,,,,
          ,,,,,,,,
"          Milo comes out. THE BOARDWALK IS PACKED, CASS IS LOST IN THE",,,,,,,,
          CROWD. Milo raises his gun in the air and FIRES. People duck,,,,,,,,
"          and scatter REVEALING CASS, climbing into the Cadillac.",,,,,,,,
          ,,,,,,,,
          SIRENS...,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT CADILLAC- AFTERNOON,,,,,,,,
          ,,,,,,,,
          Cass jumps into the car and hits the gas. She is pulling,,,,,,,,
"          away, victorious, WHEN THERE IS A SOUND ON THE ROOF.",,,,,,,,
          ,,,,,,,,
"          MILO'S FACE APPEARS, UPSIDE-DOWN, IN THE WINDSHIELD,",,,,,,,,
          GRINNING.,,,,,,,,
          ,,,,,,,,
                                CASS,,,,,,,,
"                      Get off the car, Milo.",,,,,,,,
          ,,,,,,,,
          He gives her the finger.,,,,,,,,
          ,,,,,,,,
                                CASS,,,,,,,,
"                      Get off the car, you psychopath.",,,,,,,,
          ,,,,,,,,
                                MILO,,,,,,,,
"                      Oh, I am a psychopath, and you know",,,,,,,,
                      why? Cause you made me that way.,,,,,,,,
"                      And if I'm going crazy, I'm taking",,,,,,,,
                      you with me.,,,,,,,,
          ,,,,,,,,
"          He reaches a hand through the driver's window, grabbing at",,,,,,,,
"          her. Cass SCREAMS, squeezes her eyes shut and HITS THE GAS.",,,,,,,,
          ,,,,,,,,
"          MORE SIRENS, RAPIDLY APPROACHING...",,,,,,,,
          ,,,,,,,,
                                                                    100.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT HIGHWAY- AFTERNOON,,,,,,,,
          ,,,,,,,,
"          THE CAR IS WEAVING CRAZILY, MILO SLIDING BACK AND FORTH",,,,,,,,
          ACROSS THE ROOF...,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT CADILLAC- AFTERNOON,,,,,,,,
          ,,,,,,,,
          Cass opens her eyes. MILO IS HALFWAY IN THE PASSENGER WINDOW.,,,,,,,,
          ,,,,,,,,
                                 CASS,,,,,,,,
                     AAHHH!!,,,,,,,,
          ,,,,,,,,
                                 MILO,,,,,,,,
                     AAHHH!!,,,,,,,,
          ,,,,,,,,
"          Milo falls into the car, grabbing at the wheel. They fight",,,,,,,,
          for control of the car as it goes spinning off the road...,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT TREES- AFTERNOON,,,,,,,,
          ,,,,,,,,
"          The Cadillac skids wildly, COMPLETELY OUT OF CONTROL...",,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT CADILLAC- AFTERNOON,,,,,,,,
          ,,,,,,,,
          THEY WRESTLE FOR CONTROL...,,,,,,,,
          ,,,,,,,,
                                 MILO,,,,,,,,
                     LET GO...,,,,,,,,
          ,,,,,,,,
                               CASS,,,,,,,,
"                     NO, YOU LET GO...",,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT CADILLAC- AFTERNOON,,,,,,,,
          ,,,,,,,,
"          TREES...ROCKS...SNOWBANKS...DITCHES...FINALLY, MILO MANAGES",,,,,,,,
          TO SLAM ON THE BRAKES AND THE CAR SKIDS TO A HALT JUST INCHES,,,,,,,,
          FROM A CLIFF.,,,,,,,,
          ,,,,,,,,
          Silence.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT BOARDWALK- EARLY EVENING,,,,,,,,
          ,,,,,,,,
"          Cops everywhere, Dwight and Ray leaning over the hood of a",,,,,,,,
"          squad car, being handcuffed, MAHLER UNCONSCIOUS ON A",,,,,,,,
          STRETCHER.,,,,,,,,
          ,,,,,,,,
"          A BYSTANDER IS TALKING TO A COP, DESCRIBING:",,,,,,,,
          ,,,,,,,,
                                                                   101.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                              BYSTANDER,,,,,,,,
"                    It was an old Cadillac, this crazy",,,,,,,,
"                    girl driving, and the guy was like,",,,,,,,,
                    on the roof...,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT CADILLAC- EARLY EVENING,,,,,,,,
          ,,,,,,,,
"          CHIRON: ""6:00 PM. ABOVE THE ATLANTIC OCEAN. 13 HOURS TO GO"".",,,,,,,,
          ,,,,,,,,
          Cass and Milo both just sit there breathing for a moment.,,,,,,,,
"          Then Milo turns and glares at Cass, and THE LOOK ON HER FACE",,,,,,,,
          SAYS SHE KNOWS EXACTLY WHAT'S COMING NEXT:,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT TRUNK- EARLY EVENING,,,,,,,,
          ,,,,,,,,
          CASS IS BACK IN THE TRUNK. Milo waves goodbye and SLAMS shut,,,,,,,,
          the lid.,,,,,,,,
          ,,,,,,,,
"          IMMEDIATELY, HIS CELL PHONE RINGS. Milo glances at it, then",,,,,,,,
          reluctantly answers:,,,,,,,,
          ,,,,,,,,
                              MILO,,,,,,,,
                    Yeah?,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          SPLIT-SCREEN:,,,,,,,,
          ,,,,,,,,
"          Bobby, ocean in the background, furious:",,,,,,,,
          ,,,,,,,,
                              BOBBY,,,,,,,,
                    What the fuck are you doing? I,,,,,,,,
                    thought I told you to lie low.,,,,,,,,
          ,,,,,,,,
                              MILO,,,,,,,,
                    I was lying low...,,,,,,,,
          ,,,,,,,,
                              BOBBY,,,,,,,,
                    Yeah? Then how is it that a,,,,,,,,
                    statewide all-points was just put,,,,,,,,
                    out on the two of you?,,,,,,,,
          ,,,,,,,,
                              MILO,,,,,,,,
                        (SIGHING),,,,,,,,
                    It's a long story.,,,,,,,,
          ,,,,,,,,
                              BOBBY,,,,,,,,
"                    Ok, look, you guys better come to",,,,,,,,
"                    me, I'll protect you til we figure",,,,,,,,
                    this out. Can you get to Pier 19?,,,,,,,,
          ,,,,,,,,
          Milo looks around. He can just make out Pier 19 in the,,,,,,,,
"          distance, a mile or two away.",,,,,,,,
          ,,,,,,,,
                                                                 102.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                 MILO,,,,,,,,
                       Yeah.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT PIER 19- EVENING,,,,,,,,
          ,,,,,,,,
          Milo and Cass drive up in the Cadillac and park out of sight.,,,,,,,,
          They exit the car and look around. The pier seems to be,,,,,,,,
"          deserted. Then they hear a soft motor, and BOBBY APPEARS IN A",,,,,,,,
          MOTORBOAT.,,,,,,,,
          ,,,,,,,,
                                 BOBBY,,,,,,,,
                       Get in.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT OCEAN- EARLY EVENING,,,,,,,,
          ,,,,,,,,
          The sound of a motorboat chugging along.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT MOTORBOAT- EVENING,,,,,,,,
          ,,,,,,,,
"          Bobby is at the back of the boat, steering. Cass and Milo are",,,,,,,,
"          up front, explaining:",,,,,,,,
          ,,,,,,,,
                                 CASS,,,,,,,,
"                       So, these guys have a bunch of",,,,,,,,
                       stolen evidence stashed somewhere,,,,,,,,
                       in Atlantic City...,,,,,,,,
          ,,,,,,,,
                                 MILO,,,,,,,,
                       And we think they're ditching it,,,,,,,,
                       tonight.,,,,,,,,
          ,,,,,,,,
          A SMALL YACHT APPEARS ON THE HORIZON. Bobby steers the,,,,,,,,
          motorboat towards it. MILO AND CASS TURN TO LOOK AS THE YACHT,,,,,,,,
"          COMES INTO VIEW. AND AT THE SAME MOMENT, CASS AND MILO MAKE",,,,,,,,
          OUT THE NAME ON THE SIDE OF THE BOAT:,,,,,,,,
          ,,,,,,,,
"          ""SPARROW"".",,,,,,,,
          ,,,,,,,,
                                 BOBBY,,,,,,,,
                           (CASUALLY),,,,,,,,
"                       You know, if I was them, I'd store",,,,,,,,
"                       the evidence on a boat, drive the",,,,,,,,
"                       boat about 30 miles out, and blow",,,,,,,,
                       the whole thing up.,,,,,,,,
          ,,,,,,,,
          Cass and Milo both slowly turn to find BOBBY POINTING A GUN,,,,,,,,
