,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
"     Mackelway stares. Suddenly we JUMP BACK IN TIME, NINE MONTHS,",,,,,,,,
"     for a brief, choppy FLASHBACK.",,,,,,,,
                                                                      29,,,,,,,,
29   EXT. STREET - MATAMOROS - NIGHT - MACKELWAY'S FLASHBACK,,,,,,,,
"     We're RUNNING, dashing between two buildings of chipped-adobe,",,,,,,,,
     hearing nothing but the sound of our own breathing and the,,,,,,,,
     thuds of our own heavy feet.,,,,,,,,
,,,,,,,,
"     This is Matamoros, Mexico, a shit-hole of a border town.",,,,,,,,
"     Squalor and sin. We find a DRUNK MEXICAN TEEN. He nods: ""This",,,,,,,,
"     is the place,"" and sticks out his palm.",,,,,,,,
,,,,,,,,
                                                              27.,,,,,,,,
,,,,,,,,
,,,,,,,,
30   INT. HOPE HOUSE - BASEMENT - RESUMING                          30,,,,,,,,
,,,,,,,,
"     Mackelway stares at that newspaper: Starkey - rapist,",,,,,,,,
"     murderer, whose case was just thrown out of court - a stunning",,,,,,,,
     failure for all involved.,,,,,,,,
,,,,,,,,
     ...as we RESUME MACKELWAY'S FLASHBACK - Matamoros again...,,,,,,,,
,,,,,,,,
"31   INT. ""CLUB"" - BACKSTAGE - RESUMING FLASHBACK                   31",,,,,,,,
,,,,,,,,
"     Bad-lighting, drunk patrons in a CIRCLE, and a DONKEY-SHOW",,,,,,,,
     taking place on a bare stage. Feels like we've stepped into,,,,,,,,
     some kind of evil carnival. It's dizzying.,,,,,,,,
,,,,,,,,
"     Among the crowd: Virgil Starkey, in an ugly drunken binge, the",,,,,,,,
     only guy in here who isn't cheering or laughing.,,,,,,,,
,,,,,,,,
     Suddenly our GUN is pointed right at his head.,,,,,,,,
,,,,,,,,
"     Starkey freezes, caught. Some of the PATRONS around him find",,,,,,,,
     somewhere else to stand... But the show goes on.,,,,,,,,
,,,,,,,,
32   INT. HOPE HOUSE - BASEMENT - RESUMING                          32,,,,,,,,
,,,,,,,,
"     That ARTICLE gives us more detail now, the reason Starkey's",,,,,,,,
     case was thrown out of court. It is this:,,,,,,,,
,,,,,,,,
     The F.B.I. Agent on the case had made a mistake in,,,,,,,,
"     ""evidentiary procedure."" Hence, Mackelway's picture.",,,,,,,,
,,,,,,,,
"     On his face, we GO BACK TO ANOTHER MEMORY: six months ago.",,,,,,,,
,,,,,,,,
33   INT. COURTHOUSE - ANTEROOM - DAY - ANOTHER FLASHBACK           33,,,,,,,,
,,,,,,,,
     Three months have passed since the arrest in Matamoros. Now,,,,,,,,
"     Mackelway sits in this courthouse ANTEROOM, adjacent to a",,,,,,,,
     courtroom. Four sour PROSECUTORS surround him.,,,,,,,,
,,,,,,,,
                          PROSECUTOR #1,,,,,,,,
                D'you understand how fucked we are?,,,,,,,,
,,,,,,,,
                            MACKELWAY,,,,,,,,
"                Yes, Sir.",,,,,,,,
,,,,,,,,
                          PROSECUTOR #1,,,,,,,,
                Leaving a tissue sample in the care of a,,,,,,,,
                Mexican lab? Are you fucking kidding me?,,,,,,,,
,,,,,,,,
                          MACKELWAY,,,,,,,,
                They assured me that they understood,,,,,,,,
                protocol.,,,,,,,,
,,,,,,,,
                                                                 28.,,,,,,,,
,,,,,,,,
,,,,,,,,
                          PROSECUTOR #1,,,,,,,,
                Well guess what? They didn't. And this,,,,,,,,
"                prick's gonna walk, ten murders or not.",,,,,,,,
,,,,,,,,
     That registered.,,,,,,,,
,,,,,,,,
34   INT. HOPE HOUSE - BASEMENT - RESUMING                             34,,,,,,,,
,,,,,,,,
"     Beneath this newspaper article are OTHER ARTICLES, all",,,,,,,,
"     concerning Starkey: his crimes, his capture, all of it.",,,,,,,,
,,,,,,,,
     Mackelway's memory just got stoked again:,,,,,,,,
,,,,,,,,
35   INT. COURTHOUSE - HALLWAY - RESUMING FLASHBACK                    35,,,,,,,,
,,,,,,,,
"     Mackelway emerges from that courthouse anteroom, whipped.",,,,,,,,
,,,,,,,,
     The hall's busy with MEDIA and other traffic. First face he,,,,,,,,
"     sees is Fran, who sits on a bench, (wedding ring ON). Her eyes",,,,,,,,
     say how lousy she feels for him. It almost helps.,,,,,,,,
,,,,,,,,
36   INT. COURTHOUSE BATHROOM - CONTINUING FLASHBACK                   36,,,,,,,,
,,,,,,,,
     The door bursts open and Mackelway storms in. No need to look,,,,,,,,
     composed now; he's alone in here. He crosses to a paper-towel,,,,,,,,
"     dispenser, SLUGS IT. Stares in the mirror.",,,,,,,,
,,,,,,,,
"     He's livid, embarrassed, frustrated - can barely look at his",,,,,,,,
     own reflection.,,,,,,,,
,,,,,,,,
"     Then he hears LAUGHTER, behind him. He turns.",,,,,,,,
,,,,,,,,
"     Out of the darkness of a badly-lit STALL, Virgil Starkey",,,,,,,,
"     emerges, coming into view under a single light.",,,,,,,,
,,,,,,,,
"     Beside him is a GRIM COP, his chaperone. Starkey passes by",,,,,,,,
"     Mackelway, almost snickering. Then he's gone. Mackelway shuts",,,,,,,,
     his eyes tight. His head is pounding. END FLASHBACK.,,,,,,,,
